<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
USDCHF,20051011,00:00:00,1.2830,1.2829,1.2916,1.2897
USDCHF,20051012,00:00:00,1.2898,1.2833,1.2946,1.2871
USDCHF,20051013,00:00:00,1.2870,1.2861,1.3016,1.2884
USDCHF,20051014,00:00:00,1.2884,1.2779,1.2939,1.2826
USDCHF,20051017,00:00:00,1.2837,1.2795,1.2934,1.2934
USDCHF,20051018,00:00:00,1.2933,1.2930,1.3060,1.2976
USDCHF,20051019,00:00:00,1.2976,1.2930,1.3072,1.2945
USDCHF,20051020,00:00:00,1.2946,1.2869,1.2984,1.2876
USDCHF,20051021,00:00:00,1.2876,1.2804,1.2958,1.2921
USDCHF,20051024,00:00:00,1.2922,1.2831,1.2950,1.2877
USDCHF,20051025,00:00:00,1.2877,1.2743,1.2937,1.2755
USDCHF,20051026,00:00:00,1.2755,1.2728,1.2835,1.2832
USDCHF,20051027,00:00:00,1.2834,1.2696,1.2847,1.2729
USDCHF,20051028,00:00:00,1.2729,1.2693,1.2824,1.2804
USDCHF,20051031,00:00:00,1.2806,1.2780,1.2923,1.2898
USDCHF,20051101,00:00:00,1.2898,1.2858,1.2920,1.2862
USDCHF,20051102,00:00:00,1.2864,1.2758,1.2888,1.2779
USDCHF,20051103,00:00:00,1.2779,1.2776,1.2934,1.2916
USDCHF,20051104,00:00:00,1.2917,1.2865,1.3082,1.3056
USDCHF,20051107,00:00:00,1.3095,1.3034,1.3105,1.3073
USDCHF,20051108,00:00:00,1.3073,1.3060,1.3171,1.3104
USDCHF,20051109,00:00:00,1.3105,1.3083,1.3163,1.3100
USDCHF,20051110,00:00:00,1.3100,1.3044,1.3157,1.3145
USDCHF,20051111,00:00:00,1.3144,1.3108,1.3161,1.3110
USDCHF,20051114,00:00:00,1.3124,1.3063,1.3209,1.3170
USDCHF,20051115,00:00:00,1.3171,1.3155,1.3240,1.3169
USDCHF,20051116,00:00:00,1.3169,1.3152,1.3283,1.3252
USDCHF,20051117,00:00:00,1.3251,1.3154,1.3282,1.3174
USDCHF,20051118,00:00:00,1.3174,1.3134,1.3271,1.3145
USDCHF,20051121,00:00:00,1.3139,1.3079,1.3204,1.3197
USDCHF,20051122,00:00:00,1.3199,1.3094,1.3241,1.3103
USDCHF,20051123,00:00:00,1.3102,1.3062,1.3167,1.3119
USDCHF,20051124,00:00:00,1.3120,1.3109,1.3172,1.3161
USDCHF,20051125,00:00:00,1.3160,1.3134,1.3207,1.3188
USDCHF,20051128,00:00:00,1.3202,1.2992,1.3234,1.3057
USDCHF,20051129,00:00:00,1.3057,1.3041,1.3188,1.3146
USDCHF,20051130,00:00:00,1.3144,1.3116,1.3175,1.3148
USDCHF,20051201,00:00:00,1.3148,1.3124,1.3219,1.3173
USDCHF,20051202,00:00:00,1.3173,1.3143,1.3230,1.3167
USDCHF,20051205,00:00:00,1.3188,1.3034,1.3210,1.3064
USDCHF,20051206,00:00:00,1.3064,1.3036,1.3106,1.3066
USDCHF,20051207,00:00:00,1.3066,1.3041,1.3157,1.3144
USDCHF,20051208,00:00:00,1.3144,1.2967,1.3149,1.3001
USDCHF,20051209,00:00:00,1.3001,1.2999,1.3067,1.3025
USDCHF,20051212,00:00:00,1.3054,1.2859,1.3056,1.2894
USDCHF,20051213,00:00:00,1.2893,1.2866,1.2963,1.2938
USDCHF,20051214,00:00:00,1.2938,1.2775,1.2938,1.2821
USDCHF,20051215,00:00:00,1.2825,1.2794,1.2914,1.2901
USDCHF,20051216,00:00:00,1.2901,1.2836,1.2927,1.2895
USDCHF,20051219,00:00:00,1.2884,1.2874,1.2949,1.2926
USDCHF,20051220,00:00:00,1.2927,1.2914,1.3114,1.3083
USDCHF,20051221,00:00:00,1.3084,1.3031,1.3166,1.3129
USDCHF,20051222,00:00:00,1.3131,1.3075,1.3167,1.3113
USDCHF,20051223,00:00:00,1.3113,1.3091,1.3157,1.3118
